;MetD
Talose__D-_(1MEOX)_(5TMS);3330
Ribose__D-_(1MEOX)_(4TMS);3330
Glucose__2-deoxy-__D-_(1MEOX)_(4TMS);3330
Glycolic_acid_(2TMS);3330
Fumaric_acid_(2TMS);3330
Sorbitol__D-_(6TMS);3330
Nicotinic_acid_(1TMS);3330
Maltose__D-_(1MEOX)_(8TMS);3330
Docosanoic_acid__n-_(1TMS);3330
Serine__DL-_(3TMS);3330
Alanine__DL-_(2TMS);3330
Fucose__DL-_(1MEOX)_(4TMS);3330
Pyruvic_acid_(1MEOX)_(1TMS);3330
Gluconic_acid-1_5-lactone__D-_(4TMS);3330
Methionine__DL-_(2TMS);3330
Ornithine__DL-_(3TMS);3330
Tetracosanoic_acid_methyl_ester__n-;3330
Isoleucine__L-_(2TMS);3330
Lactic_acid__DL-_(2TMS);3330
Tyramine_(3TMS);3330
Malic_acid__DL-_(3TMS);3330
Nonanoic_acid__n-_(1TMS);3330
Urea_(2TMS);3330
Tetradecanoic_acid__n-_(1TMS);3330
Allose_(1MEOX)_(5TMS);3330
Fructose__D-_(1MEOX)_(5TMS);3330
Tetradecanoic_acid_methyl_ester__n-;3330
Proline__L-_(2TMS);3330
Benzoic_acid_(1TMS);3330
Glucose__2-amino-2-deoxy-__D-_(1MEOX)_(5TMS);3330
Inositol__allo-_(6TMS);3330
Octanoic_acid__n-_(1TMS);3330
Butyric_acid__4-amino-_(3TMS);3330
Glycine_(3TMS);3330
Asparagine__DL-_(3TMS);3330
Hexadecanoic_acid_methyl_ester__n-;3330
Pyroglutamic_acid__DL-_(2TMS);3330
Isocitric_acid__DL-_(4TMS);3330
Sorbose__D-_(1MEOX)_(5TMS);3330
Hexanoic_acid__2-ethyl-_(1TMS);3330
Inositol__myo-_(6TMS);3330
Octadecanoic_acid__n-_(1TMS);3330
Succinic_acid_(2TMS);3330
Lyxose__D-_(1MEOX)_(4TMS);3330
Glucose__D-_(1MEOX)_(5TMS);3330
Sucrose__D-_(8TMS);3330
Aspartic_acid__L-_(3TMS);3330
Nonadecanoic_acid_methyl_ester__n-;3330
Stigmasterol_(1TMS);3330
Maltitol_(9TMS);3330
Tagatose__D-_(1MEOX)_(5TMS);3330
Dehydroascorbic_acid_dimer_(TMS);3330
Glutamine__DL-_(3TMS);3330
Proline__4-hydroxy-__DL-__trans-_(3TMS);3330
Putrescine_(4TMS);3330
Valine__DL-_(2TMS);3330
Hexadecenoic_acid__9-(Z)-__n-_(1TMS);3330
Aconitic_acid__cis-_(3TMS);3330
