BinCode2;Occurrence_BO;Occurrence
1.1;696;12
1.2;116;2
1.3;812;14
2.1;870;15
2.2;1392;24
3.1;174;3
3.2;290;5
3.4;174;3
3.5;58;1
3.6;116;2
3.99;58;1
4.1;1044;18
4.2;174;3
4.3;232;4
5.3;174;3
6.4;580;10
6.5;58;1
7.1;348;6
8.1;58;1
8.2;290;5
8.3;174;3
10.1;348;6
10.2;406;7
10.3;58;1
10.5;638;11
10.8;58;1
11.1;870;15
11.3;290;5
11.8;464;8
11.9;406;7
12.1;290;5
12.2;174;3
12.4;116;2
13.1;812;14
13.2;348;6
15;58;1
15.1;406;7
15.2;174;3
16.2;58;1
16.5;174;3
16.8;232;4
17.1;348;6
17.2;1508;26
17.3;58;1
17.5;290;5
17.6;58;1
18.2;116;2
18.4;58;1
20;580;10
20.1;2146;37
20.2;3944;68
21.1;174;3
21.2;754;13
21.4;116;2
21.5;58;1
21.6;58;1
23.1;58;1
23.2;406;7
23.3;348;6
23.4;464;8
24.1;116;2
25;58;1
25.6;58;1
26.13;464;8
26.16;116;2
26.17;580;10
26.22;58;1
26.3;58;1
26.4;58;1
26.5;58;1
26.6;116;2
26.7;58;1
26.8;232;4
26.9;290;5
27.1;6670;115
27.2;290;5
27.3;18328;316
27.4;3480;60
28.1;1682;29
28.2;406;7
28.99;928;16
29.1;464;8
29.2;4640;80
29.3;2958;51
29.4;12006;207
29.5;5974;103
29.6;290;5
30.1;174;3
30.11;1856;32
30.2;5742;99
30.3;7250;125
30.4;754;13
30.5;2204;38
30.6;522;9
30.7;464;8
30.8;58;1
31.1;4814;83
31.2;812;14
31.3;1044;18
31.4;3944;68
31.5;58;1
32;116;2
33.1;348;6
33.99;4060;70
34.1;1450;25
34.11;58;1
34.12;580;10
34.13;406;7
34.14;348;6
34.15;638;11
34.16;3016;52
34.17;58;1
34.18;406;7
34.19;1218;21
34.2;986;17
34.21;464;8
34.3;406;7
34.4;174;3
34.5;522;9
34.7;116;2
34.8;58;1
34.9;116;2
34.98;58;1
34.99;696;12
35.1;22794;393
35.2;38106;657
